id,type,subtype,longitude,latitude,speed,maxSpeed,targetSpeed,route,stepSpeeds,ruleType,loc,radius,priority
main-car,car,car,-3.863285230357947,40.335965463077414,4.384000000000003,8.333333333333334,8.333333333333334,"[[-3.863033,40.336006],[-3.862883,40.336027],[-3.862827,40.335913],[-3.862716,40.335825],[-3.862584,40.33578],[-3.862439,40.335774],[-3.862302,40.335807],[-3.862189,40.335876],[-3.862119,40.335965],[-3.862092,40.336065],[-3.86211,40.336167],[-3.862186,40.336272],[-3.862309,40.336345],[-3.862459,40.336378],[-3.862614,40.336363],[-3.862662,40.336491],[-3.862747,40.336719],[-3.862821,40.33692],[-3.862868,40.337026],[-3.862913,40.337134],[-3.862929,40.33717],[-3.862969,40.337266],[-3.86305,40.337463],[-3.863094,40.337568],[-3.863291,40.338056],[-3.863326,40.338143],[-3.863371,40.338257],[-3.86343,40.338406],[-3.863539,40.338682],[-3.863661,40.338997],[-3.863703,40.339105],[-3.863757,40.339238],[-3.86385,40.339464],[-3.863889,40.339567],[-3.863958,40.339731],[-3.864051,40.339963],[-3.864097,40.340079],[-3.864194,40.340337],[-3.864263,40.34052],[-3.86411,40.340576],[-3.863981,40.34066],[-3.863885,40.340767],[-3.86383,40.34089],[-3.86382,40.34103],[-3.863862,40.341166],[-3.863952,40.341287],[-3.864084,40.341384],[-3.864246,40.341449],[-3.864425,40.341476],[-3.864536,40.341473],[-3.864646,40.341456],[-3.864749,40.341424],[-3.864831,40.341437],[-3.864911,40.341449],[-3.864992,40.341454],[-3.865222,40.341505],[-3.865281,40.341547],[-3.865348,40.341594],[-3.865407,40.341637],[-3.865522,40.341719],[-3.865819,40.341923],[-3.866676,40.342512],[-3.86678,40.342584],[-3.86711,40.342848],[-3.867138,40.342867],[-3.867239,40.342937],[-3.867299,40.342978],[-3.867546,40.343164],[-3.86763,40.34326],[-3.867684,40.343366],[-3.867661,40.343444],[-3.867666,40.343564],[-3.867718,40.343677],[-3.867813,40.343774],[-3.86794,40.343843],[-3.86809,40.34388],[-3.868246,40.343882],[-3.868397,40.343847],[-3.868526,40.34378],[-3.868624,40.343686],[-3.86867,40.343602],[-3.868691,40.343512],[-3.868683,40.343423],[-3.868652,40.34334],[-3.868597,40.343264],[-3.868522,40.343199],[-3.86844,40.343153],[-3.868348,40.34312],[-3.868266,40.342934],[-3.868257,40.342757],[-3.868297,40.342604],[-3.868377,40.3424],[-3.868471,40.342182],[-3.868613,40.341973],[-3.868878,40.341784],[-3.869173,40.341653],[-3.869337,40.341591],[-3.869762,40.341431],[-3.869791,40.34142],[-3.870278,40.341254],[-3.870318,40.34124],[-3.87087,40.341007],[-3.871928,40.340631],[-3.873275,40.340135],[-3.874518,40.339639],[-3.876438,40.338839],[-3.878289,40.337982],[-3.879285,40.337497],[-3.881102,40.33655],[-3.881944,40.336092],[-3.882539,40.335737],[-3.882972,40.33551],[-3.883188,40.335396],[-3.883471,40.335287],[-3.883771,40.33521],[-3.884039,40.335169],[-3.88431,40.33515],[-3.884913,40.335133],[-3.884995,40.335126],[-3.885712,40.335068],[-3.885883,40.335084],[-3.885974,40.33516],[-3.886087,40.335216],[-3.886219,40.33525],[-3.886358,40.335258],[-3.886507,40.335236],[-3.886642,40.335184],[-3.886753,40.335106],[-3.886878,40.335094],[-3.887002,40.335106],[-3.887154,40.33513],[-3.887337,40.335186],[-3.887595,40.335351],[-3.888111,40.33568],[-3.888668,40.336062],[-3.88885,40.336189],[-3.889,40.336311],[-3.88917,40.336451],[-3.889555,40.336767],[-3.889598,40.336811],[-3.88993,40.337077],[-3.890724,40.337742],[-3.890959,40.337926],[-3.891107,40.338053],[-3.891303,40.338195],[-3.891765,40.338469],[-3.892657,40.338943],[-3.893533,40.339437],[-3.893658,40.33953],[-3.894539,40.340186],[-3.894923,40.340472],[-3.895406,40.340832],[-3.89568,40.340991],[-3.896356,40.341247],[-3.896664,40.341404],[-3.896861,40.341553],[-3.897231,40.341833],[-3.89782,40.34224],[-3.898156,40.34247],[-3.898682,40.34283],[-3.898877,40.342987],[-3.899001,40.343118],[-3.899126,40.343278],[-3.899303,40.343529],[-3.899814,40.344232],[-3.900159,40.344716],[-3.900448,40.345113],[-3.900587,40.345309],[-3.901155,40.3461],[-3.901511,40.346677],[-3.901766,40.347093],[-3.902389,40.348306],[-3.903353,40.350162],[-3.903436,40.350325],[-3.903516,40.350481],[-3.903552,40.350716],[-3.903561,40.350804],[-3.90357,40.350891],[-3.903485,40.350942],[-3.903416,40.351006],[-3.903365,40.351079],[-3.903336,40.351158],[-3.903329,40.351241],[-3.903345,40.351323],[-3.903383,40.3514],[-3.903426,40.351454],[-3.90348,40.351503],[-3.903543,40.351544],[-3.903614,40.351577],[-3.903692,40.351601],[-3.903743,40.351738],[-3.903758,40.351848],[-3.903712,40.352028],[-3.903665,40.352156],[-3.903506,40.352691],[-3.90348,40.352773],[-3.903444,40.352894],[-3.903386,40.353072],[-3.903315,40.35329],[-3.903277,40.353406],[-3.903266,40.353494],[-3.90325,40.353613],[-3.903163,40.354184],[-3.90308,40.354732],[-3.903077,40.354762],[-3.903076,40.354875],[-3.903059,40.354892],[-3.903045,40.35491],[-3.903036,40.35493],[-3.903029,40.354971],[-3.90304,40.355011],[-3.903067,40.355047],[-3.903017,40.355217],[-3.902986,40.355343],[-3.902922,40.355552],[-3.902892,40.35564],[-3.902668,40.356287],[-3.902627,40.356403],[-3.902617,40.356438],[-3.9026,40.356442],[-3.902584,40.356448],[-3.902539,40.356475],[-3.902508,40.356512],[-3.902494,40.356554],[-3.902498,40.356592],[-3.902515,40.356627],[-3.902545,40.356657],[-3.902585,40.35668],[-3.902631,40.356693],[-3.902681,40.356695],[-3.902702,40.356693],[-3.902722,40.356689],[-3.902822,40.356729],[-3.902905,40.356781],[-3.903895,40.3572],[-3.903863,40.357252],[-3.903683,40.357547],[-3.903359,40.358063],[-3.903172,40.358404],[-3.90335,40.358498],[-3.903332,40.358528],[-3.903327,40.358556],[-3.903335,40.358591],[-3.90336,40.358623],[-3.903397,40.358646],[-3.903453,40.358659],[-3.903509,40.358654],[-3.90355,40.358706],[-3.90464,40.359502],[-3.904737,40.359506],[-3.904759,40.359531],[-3.904635,40.359614],[-3.90446,40.359729],[-3.904027,40.359476],[-3.903523,40.3592],[-3.903369,40.359111],[-3.903273,40.359052],[-3.903124,40.359005],[-3.902978,40.358944],[-3.902967,40.35894],[-3.902876,40.358911]]","[8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,8.333333333333334,8.333333333333334,8.333333333333334,10.12,10.12,10.12,10.12,10.67,10.67,10.340000000000002,10.340000000000002,10.340000000000002,10.340000000000002,11,11,11,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.330000000000002,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.330000000000002,11.330000000000002,11.330000000000002,8.91,10.67,10.67,10.67,10.67,10.67,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778,22.22222222222222,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,11.11111111111111,11.11111111111111,11.11111111111111,9.790000000000001,9.790000000000001,11,11,10.67,10.67,10.67,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,19.444444444444443,11.11111111111111,11.11111111111111,11.11111111111111,10.340000000000002,10.340000000000002,8.91,8.91,8.91,8.91,8.91,8.58,8.58,8.58,8.58,8.58,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,5.555555555555555,5.555555555555555,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334]",,,,
rb-1,rule,,,,,,,,,roundabout,"[-3.862883,40.336027]",30,must-stop
rb-2,rule,,,,,,,,,roundabout,"[-3.864263,40.34052]",30,must-stop
rb-3,rule,,,,,,,,,roundabout,"[-3.867684,40.343366]",30,must-stop
y-4,rule,,,,,,,,,yield,"[-3.882539,40.335737]",15,give-way
rb-5,rule,,,,,,,,,roundabout,"[-3.885883,40.335084]",30,must-stop
rb-7,rule,,,,,,,,,roundabout,"[-3.90357,40.350891]",30,must-stop
rb-8,rule,,,,,,,,,roundabout,"[-3.903076,40.354875]",30,must-stop
rb-9,rule,,,,,,,,,roundabout,"[-3.902617,40.356438]",30,must-stop
y-10,rule,,,,,,,,,yield,"[-3.903895,40.3572]",15,give-way
y-11,rule,,,,,,,,,yield,"[-3.903683,40.357547]",15,give-way
y-12,rule,,,,,,,,,yield,"[-3.903682999999999,40.35754699999999]",15,give-way
rb-13,rule,,,,,,,,,roundabout,"[-3.9047370000000012,40.359505999999996]",30,must-stop